Etapa,Objetivo,Input,Ferramenta,Comando (se aplicável),Artefato Gerado
1. Brainstorming & Escopo,"Compreender o desafio, identificar atores, requisitos funcionais e não funcionais, restrições e diferenciais esperados.",Descrição do desafio,LLM,Prompt detalhado de Product Manager (C1),Documento de Requisitos (A1) - requirements.md
1. Backlog Funcional,"Organizar funcionalidades em épicos, features e tarefas priorizadas.",Documento de Requisitos (A1),LLM + Markdown,Prompt para geração de backlog (C2),Backlog do Projeto (A2) - backlog.md
1. Arquitetura da Solução,"Definir arquitetura da aplicação, módulos, camadas, comunicação, padrões, estratégia serverless e streaming.",Documento de Requisitos (A1); Backlog do Projeto (A2),LLM + Draw.io + Mermaid,Prompt de Software Architect (C3),Documento de Arquitetura (A3) - architecture.md
1. Modelagem de Dados,"Projetar entidades, relacionamentos, constraints e índices do banco relacional.",Documento de Requisitos (A1),LLM + dbdiagram.io,Prompt de geração DBML (C4),Modelo de Dados (A4) - schema.dbml e Diagrama ER
1. Estratégia de Streaming,Definir tecnologia de streaming e justificar sua adoção.,Documento de Arquitetura (A3),LLM,Prompt técnico (C5),Documento de Streaming (A5) - streaming-design.md
1. Contratos de API,Definir contratos REST utilizando OpenAPI.,Documento de Requisitos (A1); Documento de Arquitetura (A3); Modelo de Dados (A4),LLM,Prompt OpenAPI (C6),Especificação OpenAPI (A6) - swagger.yaml
1. Planejamento de Infraestrutura,"Definir arquitetura serverless, recursos AWS e variáveis de ambiente.",Documento de Arquitetura (A3),Serverless Framework + LLM,Prompt de infraestrutura (C7),"Infraestrutura Serverless (I1) - infrastructure.md, terraform modules"
2. Setup do Repositório,Inicializar repositório e estrutura do projeto.,Documento de Arquitetura (A3),Git + GitHub,git init,Estrutura Inicial (I2)
2. Infraestrutura Local,Provisionar ambiente local para desenvolvimento.,Infraestrutura Serverless (I1),Docker Compose,docker-compose up -d,Infraestrutura Local (I3) - docker-compose.yml
2. Banco de Dados,"Criar schema, migrations e seeds.",Modelo de Dados (A4),Drizzle ORM,npx drizzle-kit generate,Banco Configurado (B1)
2. Qualidade de Código,"Configurar lint, formatter, hooks e padronização.",Estrutura Inicial (I2),ESLint + Prettier + Husky,npm install...,Configuração de Qualidade (I4)
2. CI/CD,"Automatizar lint, testes e build.",Estrutura Inicial (I2); Configuração de Qualidade (I4),GitHub Actions,npm run lint && npm run test && npm run build,Pipeline CI (I5)
3. Implementação Backend - Base,Criar estrutura modular do backend.,Especificação OpenAPI (A6); Documento de Arquitetura (A3); Banco Configurado (B1),Fastify + Drizzle + Zod,Implementação,Backend Base (B2)
3. Autenticação e Autorização,"Implementar login, cadastro, JWT e autorização.",Backend Base (B2); Especificação OpenAPI (A6),Fastify + JWT,npm install @fastify/jwt,Módulo de Autenticação (B3)
3. CRUD de Usuários,Implementar CRUD de usuários.,Backend Base (B2); Especificação OpenAPI (A6),Fastify + Drizzle,Implementação,CRUD Usuários (B4)
3. CRUD de Tarefas,Implementar CRUD de tarefas e categorias.,Backend Base (B2); Especificação OpenAPI (A6),Fastify + Drizzle,Implementação,CRUD Tarefas (B5)
3. Colaboração,Implementar compartilhamento de tarefas.,CRUD Usuários (B4); CRUD Tarefas (B5),Fastify + Drizzle,Implementação,Colaboração (B6)
